class order,adjacency matrix order,,,PHAL,PHAR,PHBL,PHBR,R1AL,R1AR,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,HOA,HOB,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,,LUAL,LUAR,CP07,CP08,CP09,CA02,CA03,CA04,CA05,CA06,,PVY,PVX,PVV,PDA,PDB,PDC,PVZ,CP01,CP02,CP03,CP04,CP05,CP06,,DX1,DX2,DX3,DVB,DVC,DVE,DVF,,EF1,EF2,EF3,AVG,AVL,PVS,PVU,PVT,,AN3a,AN3b,PVNL,PVNR,,CA07,CA08,CA09,PGA,,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,PVCL,PVCR,sum CI's,,DA04,DA05,DA06,DA07,DA08,DA09,DB03,DB04,DB05,DB06,DB07,DD03,DD04,DD05,DD06,AS08,AS09,AS10,AS11,VA08,VA09,VA10,VA11,VA12,VB05,VB06,VB07,VB08,VB09,VB10,VB11,VD09,VD10,VD11,VD12,VD13,sum gs bwmn's,,dBWML21,dBWMR21,dBWML22,dBWMR22,dBWML23,dBWMR23,dBWML24,dBWMR24,vBWML17,vBWMR18,vBWML19,vBWMR19,vBWML20,vBWMR20,vBWML21,vBWMR21,vBWML22,vBWMR22,vBWML23,vBWMR23,vBWMR24,sum gs bwm,,cdlL,cdlR,polL,polR,dglR8,dglL7,dglR7,dglL6,dglR6,dglL5,dglR5,dglL4,dglR4,dglL3,dglR3,dglL2,dglR2,dglL1,dglR1,gecL,gecR,grtL,grtR,aobL,aobR,pobL,pobR,adp,dspL,dspR,dsrL,dsrR,vspL,vspR,vsrL,vsrR,ailL,ailR,pilL,pilR,intL,intR,sph,sum ms muscles,whole motor system sum,gonad,hyp
20,22,R4BR,R,,,,,,,,,,,18,20,,21,,,,1,2,3,,,,,,34,,,,1,,1,,,12,17,,,3,,,,,,,,,,,,,,2,,,19,12,,,,,,,,,,7,,,,4,,,,,5,,,,,,,,,,,,,20,15,11,,,,,,,,,,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,,
21,23,R5AL,D,,,,,,,,,,,,,2,,,,17,18,,,,3,6,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2,,1,,,,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,
22,24,R5AR,D,,,,,,,,,,,,,2,3,,,13,15,,,12,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,,,2,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,
23,25,R5BL,E,,,,,,,,,2,,,,3,,1,,1,,3,1,5,,,,2,,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,5,,,,,,,,,,1,,1,,,,,10,,9,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,22,,1
24,26,R5BR,E,4,1,,,,,,16,,5,,,,4,,8,,3,,,,3,,,,2,,,,3,3,32,,,,,,2,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,43,,,13,,,,,,,,,,,,,,,,,,4,3,5,,,,,,5,22,,8,,,,,,,,1,,,,,12,,13,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,4,7,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,32,,10
25,27,R6AL,E,,,,,,,,,,,,,1,,,,,,,,18,,3,,5,2,,,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,,,,,,,,,17,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,3,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,11,11,,
26,28,R6AR,E,,,,,,,,,,,,,,,,,,,,,,20,,3,,1,,,4,44,6,,,,,,,,,,,,,,,,,,,,,,,,,,,4,34,10,,,,,,,,17,26,,6,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,
27,29,R6BL,E,,,,,,,13,,,,,,3,,46,,,,,,2,,,1,,,,,,,5,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,40,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
28,30,R6BR,E,,,,1,,,,14,,,,,,,22,2,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,39,10,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
29,31,R7AL,E,,,,,,,,,,,,3,4,,,,,,6,,,,6,,9,5,,,3,8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,3,,,4,6,,,,2,16,,1,9,,,,,,,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,8,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,1,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,18,20,,2
